subset,features,n_features,model,f1_mean,f1_std,f1_min,f1_max
mouth_only,mouth_openness,1,logreg,0.8829,0.009,0.868,0.893
mouth_only,mouth_openness,1,svm,0.8788,0.0116,0.8645,0.8918
motion_only,motion_mean|motion_var,2,logreg,0.4884,0.0231,0.4467,0.5097
motion_only,motion_mean|motion_var,2,svm,0.6933,0.026,0.6556,0.7345
pose_only,yaw|pitch,2,logreg,0.7169,0.0264,0.6793,0.7447
pose_only,yaw|pitch,2,svm,0.7296,0.0511,0.6414,0.78
brightness_only,brightness,1,logreg,0.5866,0.0275,0.5593,0.6354
brightness_only,brightness,1,svm,0.7462,0.0102,0.7268,0.7571
eye_only,eye_openness,1,logreg,0.444,0.0293,0.4164,0.4863
eye_only,eye_openness,1,svm,0.6048,0.031,0.5706,0.6477
all_features,mouth_openness|eye_openness|yaw|pitch|motion_mean|motion_var|brightness|landmark_confidence,8,logreg,0.8808,0.009,0.8645,0.8912
all_features,mouth_openness|eye_openness|yaw|pitch|motion_mean|motion_var|brightness|landmark_confidence,8,svm,0.885,0.0124,0.8714,0.9077
no_mouth,eye_openness|yaw|pitch|motion_mean|motion_var|brightness|landmark_confidence,7,logreg,0.7052,0.03,0.6648,0.7398
no_mouth,eye_openness|yaw|pitch|motion_mean|motion_var|brightness|landmark_confidence,7,svm,0.6968,0.0603,0.6103,0.7513
no_motion,mouth_openness|eye_openness|yaw|pitch|brightness|landmark_confidence,6,logreg,0.8828,0.0083,0.8673,0.8912
no_motion,mouth_openness|eye_openness|yaw|pitch|brightness|landmark_confidence,6,svm,0.8826,0.012,0.8675,0.9003
no_pose,mouth_openness|eye_openness|motion_mean|motion_var|brightness|landmark_confidence,6,logreg,0.8854,0.0026,0.8825,0.8883
no_pose,mouth_openness|eye_openness|motion_mean|motion_var|brightness|landmark_confidence,6,svm,0.8796,0.0108,0.8624,0.8964
