video_id,model,n_finetune,baseline_f1,finetuned_f1,f1_delta,n_train_total,n_test
20260108-1,logreg,25,0.855,0.817,-0.038,1180,256
20260108-1,logreg,50,0.85,0.811,-0.039,1206,230
20260108-1,logreg,100,0.86,0.805,-0.055,1256,180
20260114,logreg,25,0.952,0.946,-0.006,1180,385
20260114,logreg,50,0.955,0.935,-0.02,1206,359
20260114,logreg,100,0.961,0.941,-0.02,1256,309
20260122,logreg,25,0.906,0.916,0.01,1180,275
20260122,logreg,50,0.908,0.928,0.02,1206,249
20260122,logreg,100,0.911,0.934,0.023,1256,199
20260204,logreg,25,0.83,0.819,-0.011,1180,402
20260204,logreg,50,0.826,0.824,-0.002,1206,376
20260204,logreg,100,0.812,0.849,0.037,1256,326
20260401,logreg,25,0.906,0.887,-0.019,1180,576
20260401,logreg,50,0.907,0.895,-0.012,1206,550
20260401,logreg,100,0.901,0.888,-0.013,1256,500
